!x y z r th V Ex Ey Ez Er Et
702.0 82.0 0.5 706.772947982589 6.66247710659626 -14314.5478153392 -6264.78647476764 -736.318022186979 -323.437935951597 -6307.90722230082 -4.50322929506218
702.0 82.0 0.7 706.772947982589 6.66247710659626 -14217.6988497635 -6353.69873775397 -752.831544029889 -530.317149869525 -6398.13495044116 -10.5896065129832
702.0 82.0 0.9 706.772947982589 6.66247710659626 -14070.1893225065 -6554.418146007 -768.110192174504 -752.558647400931 -6599.27150235258 -2.47755228737246
702.0 82.0 1.1 706.772947982589 6.66247710659626 -13923.2700969941 -6756.95043909456 -782.987284176705 -974.198167551616 -6802.16210774567 6.24367772748471
702.0 82.0 1.3 706.772947982589 6.66247710659626 -13740.4688440643 -7057.37983217375 -819.054038807069 -1252.91682768838 -7104.74712947255 5.2763918120089
702.0 82.0 1.5 706.772947982589 6.66247710659626 -13424.2866017858 -7334.49772963992 -852.527846564704 -1704.81209958995 -7383.87724731378 4.17993579194488
702.0 82.0 1.7 706.772947982589 6.66247710659626 -13100.1036131715 -7574.63600965511 -881.60029840576 -2165.65822914654 -7625.76683025499 3.16472682954337
702.0 82.0 1.9 706.772947982589 6.66247710659626 -12635.3198974289 -7674.38118405612 -900.692298957086 -2725.22756534117 -7727.05346930796 -4.22587874054583
702.0 82.0 2.1 706.772947982589 6.66247710659626 -11968.3774801647 -7790.65806946874 -897.831953370187 -3659.39754353692 -7842.213260658 12.105628059177
702.0 82.0 2.3 706.772947982589 6.66247710659626 -11182.5151388969 -7667.73870850749 -867.739599702302 -4368.47189750459 -7716.63266982057 27.7336238781465
702.0 82.0 2.5 706.772947982589 6.66247710659626 -10219.2889554498 -6995.17490809631 -748.821183551526 -5311.92561776226 -7034.81384895523 67.8179205182412
702.0 82.0 2.7 706.772947982589 6.66247710659626 -9156.02651216903 -6405.68313124687 -686.589142446643 -5462.77385484405 -6442.08282279656 61.2366940305787
702.0 82.0 2.9 706.772947982589 6.66247710659626 -8065.73973045455 -5866.38340609513 -645.421100124337 -5325.90091502496 -5901.64874475605 39.557013454348
702.0 82.0 3.1 706.772947982589 6.66247710659626 -7015.89554252477 -5479.22126833941 -602.622007741041 -4973.35459001978 -5512.13561035304 37.1484146988986
702.0 82.0 3.3 706.772947982589 6.66247710659626 -6082.53299746878 -5470.59509722244 -635.689683960129 -4525.58400070057 -5507.4042143882 3.30323881084265
702.0 82.0 3.5 706.772947982589 6.66247710659626 -5224.80303662444 -5445.54262396037 -658.002367087185 -3868.39252644764 -5485.10964827821 -21.7653584144137
702.0 82.0 3.7 706.772947982589 6.66247710659626 -4646.14247775135 -5941.17282484568 -701.241206627104 -2389.4375802073 -5982.40936364934 -7.20904136105522
